IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1090978;Pessoa Fisica;Masculino;Mestrado/Doutorado;Empregado - setor privado;SP
1090980;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;RR
1090999;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;SP
1091004;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;SC
1091007;Pessoa Fisica;Feminino;Pos-graduacao;Empregado - setor privado;SP
1091012;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1091039;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico municipal;PE
1091042;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;PR
1091043;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1091044;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;MG
1091053;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico estadual;MG
1091055;Pessoa Fisica;Feminino;Ensino Medio;Estudante;SP
1091057;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;SP
1091059;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;BA
1091071;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico estadual;AP
1091090;Pessoa Fisica;Masculino;Ensino Medio;Outra;BA
1091093;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;RJ
1091100;Pessoa Fisica;Masculino;Ensino Medio;Profis. Liberal/Autonomo;PB
1091110;Pessoa Fisica;Feminino;Ensino Medio;Estudante;PR
1091121;Pessoa Fisica;Masculino;Mestrado/Doutorado;Professor;RS
1091125;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico municipal;BA
1091126;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico federal;RJ
1091128;Pessoa Fisica;Feminino;Ensino Medio;Outra;SP
1091132;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RJ
1091134;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;MT
1091143;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;MG
1091145;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico estadual;PE
1091149;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1091154;Pessoa Fisica;Feminino;Mestrado/Doutorado;Servidor publico federal;SP
1091155;Pessoa Fisica;Masculino;Ensino Fundamental;Outra;SP
1091157;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico municipal;CE
1091166;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;SP
1091175;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico estadual;RJ
1091181;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;DF
1091182;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;SP
1091188;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;RJ
1091189;Pessoa Fisica;Masculino;Ensino Superior ;Professor;PE
1091190;Pessoa Fisica;Masculino;Pos-graduacao;Outra;DF
1091191;Pessoa Fisica;Masculino;Ensino Superior ;Outra;SP
1091199;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;RO
1091204;Pessoa Fisica;Masculino;Pos-graduacao;Empresario/empreendedor;TO
1091209;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;SP
1091210;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SC
1091216;Pessoa Fisica;Masculino;Ensino Medio;Outra;MG
1091218;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;RJ
1091225;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico federal;TO
1091228;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;PE
1091243;Pessoa Fisica;Feminino;Mestrado/Doutorado;Outra;RS
1091245;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;MG
1091258;Pessoa Fisica;Feminino;Pos-graduacao;Outra;RJ
1091260;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;SP
1091262;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico estadual;SC
1091263;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico municipal;PR
1091265;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;DF
1091269;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;RS
1091280;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1091282;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;SP
1091286;Pessoa Fisica;Masculino;Ensino Medio;Empresario/empreendedor;RS
1091294;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico estadual;DF
1091298;Pessoa Fisica;Masculino;Pos-graduacao;Empresario/empreendedor;MG
1091301;Pessoa Fisica;Feminino;Ensino Superior ;Profis. Liberal/Autonomo;SP
1091302;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1091306;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;SP
1091317;Pessoa Fisica;Feminino;Sem instrução formal;Estudante;PA
1091321;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;RN
1091338;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico municipal;GO
1091340;Pessoa Fisica;Masculino;Mestrado/Doutorado;Jornalista;SC
1091342;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico estadual;SE
1091344;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico federal;ES
